NaN	0
0	163.83098576816099
5	162.58924878495225
10	158.85604183884357
15	153.0799200746879
20	145.83230414865508
25	137.58028921263124
30	128.64856528531948
35	119.20018771307883
40	109.33079072896633
45	99.2384107244087
50	89.20406879362275
55	79.43987073403088
60	70.10731876938002
65	61.18423143999214
70	52.577557312938715
75	44.40641529118605
80	37.15267704668766
85	31.7169336365544
90	28.88798097782701
95	31.7169336365544
100	37.15267704668766
105	44.40641529118605
110	52.577557312938715
115	61.18423143999214
120	70.10731876938002
125	79.43987073403088
130	89.20406879362275
135	99.2384107244087
140	109.33079072896633
145	119.20018771307883
150	128.64856528531948
155	137.58028921263124
160	145.83230414865508
165	153.0799200746879
170	158.85604183884357
175	162.58924878495225
180	163.83098576816099
